Title,Artist,Male Key,Female Key,BPM,Time Signature,Themes,Tags
How Marvelous (I Stand Amazed),Modern Arrangement,D,F,72,4/4,atonement; grace; cross; awe,modern; slow
Everlasting God,Brenton Brown,A,C,132,4/4,strength; trust; hope; gods_character,modern; upbeat
You Are Good,Israel Houghton,A,C,120,4/4,joy; thanksgiving; gods_goodness; praise,modern; upbeat
Crown Him (Majesty),Hillsong Worship,D,F,72,4/4,kingship_of_jesus; adoration; worthy; holiness,modern; slow
Noel,Chris Tomlin,D,F,72,4/4,christmas; incarnation; adoration; awe,modern; slow
O The Blood,Gateway Worship,Bb,Db,72,4/4,cross; atonement; forgiveness; grace,modern; slow
Worthy Is The Lamb,Hillsong Worship,A,C,68,4/4,worthy; jesus; adoration; revelation,modern; slow
Love The Lord,Lincoln Brewster,D,F,124,4/4,praise; joy; devotion; command_to_worship,modern; upbeat
Hark The Herald (with King Of Heaven),Bethel Music,D,F,82,4/4,christmas; incarnation; adoration; praise,modern
Your Name,Paul Baloche,A,C,102,4/4,name_of_jesus; praise; confidence; joy,modern
God Of This City,Bluetree,G,Bb,74,4/4,mission; revival; prayer; hope_for_the_city,modern; slow
Chain Breaker,Zach Williams,D,F,78,4/4,freedom; deliverance; hope; healing,modern; slow
Beautiful Things,Gungor,D,F,110,4/4,restoration; hope; redemption; renewal,modern
I Am Free,Newsboys,D,F,136,4/4,freedom; joy; praise; celebration,modern; upbeat
My Savior My God,Aaron Shust,D,F,74,4/4,devotion; worship; lordship_of_jesus; adoration,modern; slow
Resurrecting (Live),Elevation Worship,Bb,Db,74,4/4,resurrection; power_of_jesus; victory; hope,modern; slow
Even So Come,Passion,G,Bb,68,4/4,second_coming; hope; prayer; kingdom,modern; slow
Glory To God Forever,Fee,G,Bb,120,4/4,doxology; praise; gods_glory; thanksgiving,modern; upbeat
God Of Wonders,Third Day,A,C,100,4/4,creation; awe; holiness; praise,modern
Stronger,Hillsong Worship,E,G,130,4/4,resurrection; victory; cross; praise,modern; upbeat
Overcome,Jon Egan,B,D,76,4/4,victory; cross; resurrection; perseverance,modern; slow
Take My Life,Chris Tomlin,G,Bb,72,4/4,surrender; consecration; devotion; obedience,modern; slow
I Heard The Bells On Christmas Day,Casting Crowns,D,F,80,4/4,christmas; peace; hope; perseverance,modern
Emmanuel (Hallowed Manger Ground),Chris Tomlin,D,F,68,4/4,christmas; incarnation; adoration; awe,modern; slow
Gratitude,Brandon Lake,G,Bb,74,4/4,gratitude; praise; testimony; awe,modern; slow
Holy Forever,Chris Tomlin,D,F,70,4/4,holiness; worthy; heavenly_worship; adoration,modern; slow
I Thank God,Maverick City Music & UPPERROOM,B,D,106,4/4,testimony; freedom; joy; salvation,modern
Trust In God,Elevation Worship,A,C,74,4/4,trust; faithfulness; providence; perseverance,modern; slow
Oceans (Where Feet May Fail),Hillsong UNITED,D,F,63,4/4,faith; trust; holy_spirit; dependence,modern; slow
So Will I (100 Billion X),Hillsong UNITED,C,Eb,73,4/4,creation; awe; worship; surrender,modern; slow
Good Grace,Hillsong UNITED,G,Bb,90,4/4,grace; praise; gospel; joy,modern
God Turn It Around,Jon Reddick,G,Bb,74,4/4,hope; faith; breakthrough; prayer,modern; slow
Wait On You,Elevation Worship & Maverick City Music,A,C,80,4/4,waiting; trust; strength; hope,modern
Talking To Jesus,Elevation Worship,G,Bb,74,4/4,prayer; dependence; peace; relationship_with_god,modern; slow
Never Lost,Tauren Wells,B,D,78,4/4,victory; faith; miracles; hope,modern; slow
Rattle!,Elevation Worship,B,D,132,4/4,resurrection; faith; revival; hope,modern; upbeat
The Commission,CAIN,G,Bb,120,4/4,mission; gospel; sending; great_commission,modern; upbeat
I Speak Jesus,Charity Gayle,G,Bb,76,4/4,name_of_jesus; healing; freedom; spiritual_warfare,modern; slow
God So Loved,We The Kingdom,G,Bb,75,4/4,gospel; invitation; grace; salvation,modern; slow
Still The King,Commonly Performed,D,F,72,4/4,kingship_of_jesus; sovereignty; trust; praise,modern; slow
What An Awesome God,Phil Wickham,G,Bb,73,4/4,awe; praise; gods_greatness; adoration,modern; slow
No One Like The Lord,Circuit Rider Music,D,F,72,4/4,worthy; adoration; jesus_enthroned; revelation,modern; slow
Our God Reigns,Leonard E. Smith Jr.,G,Bb,92,4/4,kingship; sovereignty; hope; praise,modern
The Stand,Hillsong UNITED,G,Bb,78,4/4,surrender; devotion; discipleship; worship_response,modern; slow
Even If,MercyMe,G,Bb,80,4/4,trust; faith; suffering; perseverance,modern
Praise You In This Storm,Casting Crowns,D,F,78,4/4,suffering; trust; perseverance; lament,modern; slow
In The Secret,Andy Park,E,G,74,4/4,intimacy; prayer; devotion; presence_of_god,modern; slow
Come Now Is The Time To Worship,Brian Doerksen,E,G,66,4/4,call_to_worship; surrender; adoration; invitation,modern; slow
"Lord, I Lift Your Name On High",Rick Founds,G,Bb,92,4/4,praise; gospel; joy; jesus,modern
Here I Am To Worship,Tim Hughes,E,G,73,4/4,adoration; surrender; incarnation; worship_response,modern; slow
I Could Sing Of Your Love Forever,Delirious?,E,G,66,4/4,gods_love; devotion; praise; thanksgiving,modern; slow
We Fall Down,Chris Tomlin,D,F,72,4/4,humility; worship; holiness; prayer,modern; slow
Trading My Sorrows,Darrell Evans,A,C,102,4/4,joy; exchange; breakthrough; praise,modern
Shine Jesus Shine,Graham Kendrick,D,F,104,4/4,revival; light_of_christ; mission; praise,modern
All The Poor And Powerless,All Sons & Daughters,G,Bb,78,4/4,invitation; grace; gospel_welcome; worship,modern; slow
Christ Be All Around Me,All Sons & Daughters,E,G,80,4/4,presence_of_god; protection; devotion; prayer,modern
Amazing Love (You Are My King),Billy Foote,G,Bb,82,4/4,cross; grace; forgiveness; adoration,modern
Come Thou Fount,Traditional Hymn,C,Eb,74,4/4,grace; gods_faithfulness; devotion; repentance,modern; slow
Be Thou My Vision,Traditional Hymn,D,F,72,4/4,devotion; discipleship; treasure; lordship_of_jesus,modern; slow
Great Is Thy Faithfulness,Traditional Hymn,C,Eb,84,4/4,faithfulness; mercy; providence; hope,modern
Doxology,Traditional Hymn,D,F,72,4/4,doxology; trinity; praise; benediction,modern; slow
"Holy, Holy, Holy",Traditional Hymn,D,F,72,4/4,holiness; trinity; adoration; reverence,modern; slow
Turn Your Eyes Upon Jesus,Traditional Hymn,C,Eb,68,4/4,fixing_our_eyes; hope; devotion; peace,modern; slow
The King Is In The Room,Phil Wickham,D,F,72,4/4,presence_of_god; kingship_of_jesus; adoration; awe,modern; slow
Song Of The Saints,People & Songs,G,Bb,88,4/4,worship; testimony; perseverance; praise,modern
Victory In Jesus (Christ Won The Victory),Modern Arrangement,D,F,104,4/4,victory; gospel; salvation; praise,modern
Cry Out,Commonly Performed,G,Bb,124,4/4,praise; joy; call_to_worship; freedom,modern; upbeat
Come To Jesus,Chris Rice,C,Eb,70,4/4,invitation; grace; salvation; rest,modern; slow
He Who Is To Come,Passion,G,Bb,72,4/4,second_coming; hope; kingdom; adoration,modern; slow
Somebody Prayed,Crowder,G,Bb,92,4/4,prayer; testimony; faith; providence,modern
Holy Forever (Christmas),Chris Tomlin,D,F,70,4/4,christmas; holiness; worthy; adoration,modern; slow
O Holy Night / Holy Forever,Medley,D,F,68,4/4,christmas; incarnation; holiness; adoration,modern; slow
The Joy / Joy To The World,Medley,D,F,120,4/4,christmas; joy; praise; celebration,modern; upbeat
O Come All Ye Faithful (His Name Shall Be),Modern Arrangement,D,F,84,4/4,christmas; incarnation; adoration; jesus,modern
Angels (Glory To God),Chris Tomlin,D,F,108,4/4,christmas; angels; good_news; praise,modern
Joy To The World (Joyful Joyful),Medley,D,F,120,4/4,christmas; joy; praise; celebration,modern; upbeat
What He's Done,Passion,D,F,126,4/4,gospel; cross; resurrection; praise,modern; upbeat
He Is,Crowder,G,Bb,92,4/4,jesus; worthy; adoration; confession,modern
I'm Not Alone,Kari Jobe,G,Bb,72,4/4,presence_of_god; comfort; peace; trust,modern; slow
Honey In The Rock,Brooke Ligertwood,A,C,80,4/4,provision; trust; faithfulness; testimony,modern
Same Jesus,Elevation Worship,A,C,74,4/4,faithfulness; jesus; hope; trust,modern; slow
Christ Our Hope In Life And Death,Getty Music,D,F,88,4/4,hope; gospel; assurance; perseverance,modern
All Glory Be To Christ,Kings Kaleidoscope,C,Eb,96,4/4,doxology; grace; jesus; sovereignty,modern
Jesus Thank You,Sovereign Grace Music,E,G,70,4/4,cross; gratitude; gospel; communion,modern; slow
There Is One Gospel,Getty Music,D,F,84,4/4,gospel; unity; cross; resurrection,modern
Ancient Of Days,CityAlight,D,F,70,4/4,sovereignty; endurance; hope; kingdom,modern; slow
Speak O Lord,Getty Music,D,F,72,4/4,word_of_god; formation; surrender; prayer,modern; slow
Come People Of The Risen King,Getty Music,D,F,104,4/4,call_to_worship; resurrection; joy; unity,modern
The Lord Our God,Passion,G,Bb,72,4/4,faithfulness; holiness; sovereignty; praise,modern; slow
All Hail The Power Of Jesus' Name,Traditional Hymn,D,F,88,4/4,name_of_jesus; kingship; worthy; adoration,modern
Before The Throne Of God Above,Traditional Hymn,D,F,72,4/4,atonement; assurance; intercession; gospel,modern; slow
Jesus Loves Me,Traditional,G,Bb,76,4/4,love_of_god; assurance; children; gospel_simplicity,modern; slow
Jesus Loves The Little Children,Traditional,G,Bb,92,4/4,children; welcome; kingdom; love_of_jesus,modern
O God Beyond All Praising,Traditional,D,F,92,4/4,doxology; adoration; awe; thanksgiving,modern
And Can It Be,Traditional,D,F,88,4/4,grace; atonement; wonder; salvation,modern
How Firm A Foundation,Traditional,D,F,84,4/4,faithfulness; security; promises_of_god; endurance,modern
Be Still My Soul,Traditional,D,F,68,4/4,peace; trust; suffering; providence,modern; slow
The Solid Rock,Traditional,D,F,88,4/4,assurance; jesus; hope; foundation,modern
His Eye Is On The Sparrow,Traditional,G,Bb,72,4/4,providence; comfort; peace; trust,modern; slow
Tis So Sweet To Trust In Jesus,Traditional,D,F,74,4/4,trust; peace; faith; assurance,modern; slow
I Need Thee Every Hour,Traditional,C,Eb,72,4/4,dependence; prayer; need; grace,modern; slow
Guide Me O Thou Great Jehovah,Traditional,D,F,92,4/4,guidance; pilgrimage; providence; faithfulness,modern
It Is Well,Kristene DiMarco & Bethel Music,D,F,72,4/4,peace; trust; suffering; surrender,modern; slow
Shout To The North,Hillsong Worship,G,Bb,124,4/4,joy; gospel_invitation; praise; encouragement,modern; upbeat
Lord I Give You My Heart,Hillsong Worship,E,G,72,4/4,surrender; devotion; prayer; worship_response,modern; slow
Jesus Lover Of My Soul,Hillsong Worship,E,G,70,4/4,intimacy; refuge; devotion; trust,modern; slow
The Power Of Your Love,Geoff Bullock,E,G,72,4/4,surrender; formation; prayer; holiness,modern; slow
Days Of Elijah,Robin Mark,G,Bb,132,4/4,praise; hope; kingdom; declaration,modern; upbeat
A New Hallelujah,Michael W. Smith,G,Bb,124,4/4,praise; revival; joy; declaration,modern; upbeat
Resurrecting,Elevation Worship,B,D,74,4/4,resurrection; hope; victory; gospel,modern; slow
Abide With Me,Traditional,D,F,66,4/4,presence_of_god; suffering; comfort; perseverance,modern; slow
Bless God,Brooks & Dunn,G,Bb,96,4/4,gratitude; praise; testimony; faithfulness,modern
Abandoned,Benny Hester,E,G,98,4/4,surrender; devotion; worship; joy,modern
Love of God,MercyMe,G,Bb,72,4/4,love_of_god; grace; assurance; gospel,modern; slow
Trust And Obey,Traditional Hymn,D,F,88,4/4,obedience; discipleship; trust; faithfulness,modern
So So Good,Maverick City Music,G,Bb,74,4/4,goodness_of_god; gratitude; testimony; praise,modern; slow
Let It Be A Hallelujah,Josh Wilson,G,Bb,92,4/4,praise; suffering; trust; declaration,modern
Oh My Soul (Psalm 103),Chris Tomlin,G,Bb,92,4/4,psalm_103; gratitude; praise; remembrance,modern
That's My King,CeCe Winans,A,C,90,4/4,kingship_of_jesus; worthy; praise; testimony,modern
"10,000 Armies",Commonly Performed,A,C,128,4/4,victory; spiritual_warfare; trust; declaration,modern; upbeat
Can't Stop Praisin',Elevation Rhythm,A,C,140,4/4,praise; joy; celebration; testimony,modern; upbeat
I Believe,Phil Wickham,D,F,96,4/4,creed; faith; confession; gospel,modern
New Thing Coming,Commonly Performed,A,C,124,4/4,renewal; hope; faith; declaration,modern; upbeat
The Jesus Way,Phil Wickham,G,Bb,94,4/4,discipleship; kingdom; following_jesus; obedience,modern
The Blood,Kari Jobe,D,F,70,4/4,cross; redemption; forgiveness; grace,modern; slow
Goodbye Yesterday,Elevation Worship,A,C,126,4/4,freedom; new_life; testimony; joy,modern; upbeat
As For Me And My House,Commonly Performed,G,Bb,94,4/4,family; commitment; worship; covenant,modern
Counting My Blessings,Seph Schlueter,G,Bb,92,4/4,gratitude; testimony; praise; remembrance,modern
Kingdom,Commonly Performed,A,C,96,4/4,kingdom_of_god; mission; obedience; prayer,modern
I've Got Joy,Commonly Performed,G,Bb,132,4/4,joy; testimony; praise; freedom,modern; upbeat
Sevens,Maverick City Music,A,C,88,4/4,worship; awe; holiness; praise,modern
People of Heaven,Hillsong Worship,D,F,124,4/4,resurrection; hope; kingdom; joy,modern; upbeat
The First Hymn,Phos,D,F,70,4/4,ancient_church; jesus; worthy; doxology,modern; slow
That's Who I Praise,Brandon Lake,G,Bb,128,4/4,praise; testimony; joy; declaration,modern; upbeat
The Father's House,Cory Asbury,D,F,96,4/4,prodigal; grace; homecoming; freedom,modern
Evidence,Josh Baldwin,G,Bb,92,4/4,testimony; faithfulness; gratitude; hope,modern
My Testimony,Elevation Worship,B,D,126,4/4,testimony; victory; resurrection; praise,modern; upbeat
Champion,Bethel Music,B,D,74,4/4,victory; kingship_of_jesus; spiritual_warfare; hope,modern; slow
Surrounded (Fight My Battles),Upperroom,B,D,72,4/4,spiritual_warfare; trust; victory; praise,modern; slow
Yes And Amen,Housefires,G,Bb,92,4/4,promises_of_god; faithfulness; trust; worship_response,modern
Same Power,Jeremy Camp,D,F,124,4/4,resurrection_power; holy_spirit; victory; faith,modern; upbeat
God Of The Promise,Everlasting Arms,G,Bb,96,4/4,promises_of_god; faithfulness; trust; hope,modern
Touch Of Heaven,Hillsong Worship,E,G,70,4/4,presence_of_god; prayer; renewal; worship,modern; slow
Broken Vessels (Amazing Grace),Hillsong Worship,D,F,74,4/4,grace; healing; restoration; surrender,modern; slow
Spirit Break Out,Kim Walker-Smith,D,F,88,4/4,holy_spirit; revival; presence_of_god; prayer,modern
Never Walk Alone,Hillsong Worship,D,F,92,4/4,comfort; presence_of_god; hope; faithfulness,modern
Come To The Table,Sidewalk Prophets,G,Bb,90,4/4,invitation; grace; belonging; gospel,modern
In Jesus Name (God Of Possible),Katy Nichole,G,Bb,94,4/4,prayer; miracles; faith; hope,modern
Wonderful Merciful Savior,Selah,D,F,72,4/4,mercy; grace; jesus; adoration,modern; slow
Rescue,Lauren Daigle,G,Bb,72,4/4,comfort; hope; love_of_god; presence_of_god,modern; slow
Lord Send Revival,Hillsong Young & Free,B,D,130,4/4,revival; holy_spirit; prayer; mission,modern; upbeat
Worthy Is Your Name,Passion,D,F,72,4/4,worthy; name_of_jesus; adoration; praise,modern; slow
Be Enthroned,Bethel Music,E,G,70,4/4,kingship_of_jesus; worship; adoration; presence_of_god,modern; slow
Holy Ground,Passion,E,G,74,4/4,holiness; presence_of_god; awe; worship,modern; slow
Come Holy Spirit,Passion,E,G,72,4/4,holy_spirit; prayer; presence_of_god; renewal,modern; slow
"Jesus, Name Above All Names",Naida Hearn,D,F,70,4/4,name_of_jesus; worship; adoration; jesus,modern; slow
I Exalt Thee,Pete Sanchez Jr.,D,F,68,4/4,exaltation; adoration; worship; gods_glory,modern; slow
I Worship You Almighty God,Sondra Corbett,D,F,66,4/4,worship; adoration; holiness; awe,modern; slow
Only A Holy God,CityAlight,D,F,88,4/4,holiness; awe; worthy; adoration,modern
"Goodness, Love And Mercy",Chris Tomlin,G,Bb,92,4/4,mercy; goodness_of_god; testimony; grace,modern
Christ and Christ Crucified,Lindsey Williams,D,F,70,4/4,cross; gospel; jesus; surrender,modern; slow
"Jesus, Only Jesus",Vertical Worship,D,F,90,4/4,jesus; worthy; adoration; christ_alone,modern
Come Alive (Dry Bones),Lauren Daigle,G,Bb,126,4/4,renewal; resurrection_power; hope; holy_spirit,modern; upbeat
Miracles,Chris McClarney,A,C,92,4/4,miracles; faith; hope; trust,modern
Nothing Is Impossible,Planetshakers,A,C,136,4/4,faith; victory; miracles; praise,modern; upbeat
King of Glory,Third Day,G,Bb,96,4/4,kingship_of_jesus; glory; praise; adoration,modern
Everlasting Arms,Traditional Hymn,D,F,88,4/4,assurance; comfort; faithfulness; trust,modern
Beautiful Savior,Stuart Townend,D,F,84,4/4,jesus; adoration; worthy; christ_alone,modern
Behold the King,Hillsong Worship,E,G,72,4/4,kingship_of_jesus; worthy; adoration; praise,modern; slow
God of All My Days,Casting Crowns,G,Bb,92,4/4,faithfulness; providence; trust; surrender,modern
Sing Wherever I Go,We The Kingdom,G,Bb,124,4/4,joy; praise; testimony; everyday_worship,modern; upbeat
Sing Sing Sing,Chris Tomlin,A,C,140,4/4,praise; joy; celebration; testimony,modern; upbeat
Unfailing Love,Chris Tomlin,G,Bb,96,4/4,love_of_god; faithfulness; grace; worship,modern
Made To Worship,Chris Tomlin,G,Bb,92,4/4,worship; identity; creation; devotion,modern
Famous One,Chris Tomlin,A,C,132,4/4,name_of_jesus; praise; glory; worship,modern; upbeat
God With Us,MercyMe,D,F,72,4/4,incarnation; emmanuel; christmas; hope,modern; slow
Emmanuel,Traditional Hymn,D,F,70,4/4,incarnation; advent; christmas; hope,modern; slow
"Forever And Ever, Amen",Randy Travis,G,Bb,104,4/4,commitment; faithfulness; marriage; testimony,modern
Jesus At The Center,Israel Houghton,C,Eb,70,4/4,jesus; surrender; christcentered; worship,modern; slow
Our God Saves,Paul Baloche,A,C,126,4/4,salvation; praise; gospel; declaration,modern; upbeat
All The Earth Will Sing Your Praises,Paul Baloche,G,Bb,128,4/4,praise; nations; glory; mission,modern; upbeat
Above All,Michael W. Smith,G,Bb,72,4/4,jesus; cross; worthy; humility,modern; slow
Amazed (I Stand Amazed),Chris Tomlin,G,Bb,90,4/4,grace; cross; worthy; awe,modern
Lord Reign In Me,Brenton Brown,A,C,124,4/4,surrender; kingship_of_jesus; obedience; worship,modern; upbeat
Give Us Clean Hands,Chris Tomlin,D,F,70,4/4,repentance; holiness; prayer; surrender,modern; slow
All Who Are Thirsty,Brenton Brown,G,Bb,92,4/4,invitation; living_water; grace; worship,modern
Here Is Our King,David Crowder Band,A,C,104,4/4,kingship_of_jesus; praise; worship; declaration,modern
At Your Name,Phil Wickham,B,D,128,4/4,name_of_jesus; worthy; praise; power,modern; upbeat
Savior King,Hillsong Worship,E,G,70,4/4,cross; grace; jesus; worthy,modern; slow
Came To My Rescue,Hillsong United,D,F,96,4/4,salvation; testimony; grace; praise,modern
You Are My World,Hillsong Worship,E,G,70,4/4,devotion; surrender; jesus; worship,modern; slow
Hosanna (Paul Baloche),Paul Baloche,E,G,92,4/4,hosanna; praise; kingship_of_jesus; adoration,modern
I'm Coming Back To The Heart Of Worship,Matt Redman,D,F,72,4/4,worship; repentance; surrender; devotion,modern; slow
Great Is The Lord,Michael W. Smith,D,F,92,4/4,praise; greatness_of_god; worship; adoration,modern
Open Up The Gates,Vertical Worship,B,D,128,4/4,praise; welcome; kingship_of_jesus; joy,modern; upbeat
Blessed Assurance (My Chains Are Gone),Chris Tomlin,G,Bb,72,4/4,assurance; grace; freedom; redemption,modern; slow
Come Thou Long Expected Jesus,Traditional Hymn,D,F,70,4/4,advent; incarnation; hope; messiah,modern; slow
O Come O Come Emmanuel,Traditional Hymn,E,G,68,4/4,advent; emmanuel; hope; longing,modern; slow
Silent Night,Traditional Hymn,D,F,68,4/4,christmas; incarnation; peace; adoration,modern; slow
Away In A Manger,Traditional Hymn,C,Eb,76,4/4,christmas; incarnation; humility; adoration,modern; slow
O Little Town Of Bethlehem,Traditional Hymn,D,F,72,4/4,christmas; incarnation; hope; adoration,modern; slow
What Child Is This,Traditional Hymn,E,G,68,4/4,christmas; incarnation; kingship_of_jesus; wonder,modern; slow
Mary Did You Know,Mark Lowry,D,F,66,4/4,christmas; incarnation; wonder; jesus,modern; slow
We Three Kings,Traditional Hymn,E,G,92,4/4,epiphany; kingship_of_jesus; worship; christmas,modern
Carol Of The Bells,Traditional Carol,E,G,152,4/4,christmas; joy; celebration; proclamation,modern; upbeat
Angels From The Realms Of Glory,Traditional Hymn,D,F,92,4/4,christmas; angels; worship; incarnation,modern
Good Christian Men Rejoice,Traditional Carol,E,G,132,4/4,christmas; joy; proclamation; good_news,modern; upbeat
In The Bleak Midwinter,Traditional Hymn,D,F,66,4/4,christmas; incarnation; wonder; devotion,modern; slow
God Rest Ye Merry Gentlemen,Traditional Carol,Em,Gm,92,4/4,christmas; gospel; joy; good_news,modern
Joyful Joyful We Adore Thee,Traditional Hymn,D,F,124,4/4,praise; joy; adoration; creation,modern; upbeat
"Jesus, Joy Of Man's Desiring",Johann Sebastian Bach,G,Bb,68,4/4,jesus; devotion; peace; adoration,modern; slow
"Worthy, Worthy, Worthy",Traditional Hymn,D,F,72,4/4,worthy; adoration; praise; holiness,modern; slow
All Hail The Power Of Jesus' Name (modern arrangement),Traditional Hymn,D,F,92,4/4,name_of_jesus; worthy; kingship_of_jesus; praise,modern
Crown Him With Many Crowns,Traditional Hymn,D,F,92,4/4,kingship_of_jesus; worthy; praise; resurrection,modern
Blessed Be The Tie That Binds,Traditional Hymn,C,Eb,74,4/4,unity; church; community; love,modern; slow
I Surrender All,Traditional Hymn,D,F,70,4/4,surrender; consecration; devotion; repentance,modern; slow
Nothing But The Blood (modern arrangement),Traditional Hymn,G,Bb,96,4/4,cross; atonement; redemption; grace,modern
Rock Of Ages (modern arrangement),Traditional Hymn,D,F,72,4/4,grace; refuge; cross; salvation,modern; slow
How Great Thou Art (modern arrangement),Traditional Hymn,G,Bb,72,4/4,greatness_of_god; awe; creation; praise,modern; slow
Come To The Table (Crowder),Crowder,G,Bb,94,4/4,invitation; grace; communion; belonging,modern
All My Hope Is In Jesus,Traditional Gospel,G,Bb,92,4/4,hope; salvation; testimony; grace,modern
Heaven Come Down,Kari Jobe,E,G,70,4/4,presence_of_god; holy_spirit; prayer; worship,modern; slow
The Lord's Prayer (It's Yours),Matt Maher,E,G,84,4/4,prayer; kingdom; surrender; worship,modern
"Jesus, Only Jesus",Vertical Worship,D,F,90,4/4,jesus; worthy; adoration; christ_alone,modern
Come Alive (Dry Bones),Lauren Daigle,G,Bb,126,4/4,renewal; resurrection_power; hope; holy_spirit,modern; upbeat
Miracles,Chris McClarney,A,C,92,4/4,miracles; faith; hope; trust,modern
Nothing Is Impossible,Planetshakers,A,C,136,4/4,faith; victory; miracles; praise,modern; upbeat
King of Glory,Third Day,G,Bb,96,4/4,kingship_of_jesus; glory; praise; adoration,modern
How Great Thou Art (modern arrangement),Traditional Hymn,G,Bb,72,4/4,greatness_of_god; awe; creation; praise,modern; slow
Come To The Table (Crowder),Crowder,G,Bb,94,4/4,invitation; grace; communion; belonging,modern
All My Hope Is In Jesus,Traditional Gospel,G,Bb,92,4/4,hope; salvation; testimony; grace,modern
Heaven Come Down,Kari Jobe,E,G,70,4/4,presence_of_god; holy_spirit; prayer; worship,modern; slow
The Lord's Prayer (It's Yours),Matt Maher,E,G,84,4/4,prayer; kingdom; surrender; worship,modern
Healer,Kari Jobe,D,F,70,4/4,healing; faith; trust; prayer,slow; modern
Speak Life,Kari Jobe,G,Bb,96,4/4,hope; encouragement; faith; words,medium; modern
Beautiful,Kari Jobe,C,Eb,68,4/4,jesus; adoration; worthy; awe,slow; modern
Forever,Kari Jobe,G,Bb,72,4/4,resurrection; cross; gospel; victory,slow; modern
No Sweeter Name,Kari Jobe,D,F,70,4/4,name-of-jesus; adoration; worthy; devotion,slow; modern
I'm Singing,Kari Jobe,A,C,128,4/4,joy; praise; testimony; freedom,fast; modern
Everyone Needs A Savior,Kari Jobe,G,Bb,96,4/4,salvation; gospel; grace; invitation,medium; modern
Pure,Kari Jobe,D,F,68,4/4,holiness; surrender; purity; prayer,slow; modern
You Are For Me,Kari Jobe,G,Bb,92,4/4,grace; assurance; love-of-god; identity,medium; modern
We Are,Kari Jobe,A,C,98,4/4,identity; church; mission; unity,medium; modern
Steady My Heart,Kari Jobe,C,Eb,68,4/4,peace; trust; anxiety; prayer,slow; modern
Find You On My Knees,Kari Jobe,D,F,70,4/4,prayer; dependence; surrender; trust,slow; modern
Here,Kari Jobe,C,Eb,66,4/4,presence-of-god; comfort; peace; prayer,slow; modern
What Love Is This,Kari Jobe,D,F,70,4/4,love-of-god; cross; grace; awe,slow; modern
I Won't Let Go,Kari Jobe,C,Eb,68,4/4,perseverance; trust; faith; hope,slow; modern
Come Alive,Kari Jobe,A,C,92,4/4,renewal; holy-spirit; hope; faith,medium; modern
Stars In The Night,Kari Jobe,G,Bb,90,4/4,hope; faithfulness; wonder; trust,medium; modern
Why Me,Kari Jobe,C,Eb,66,4/4,grace; humility; wonder; salvation,slow; modern
Slow,Kari Jobe,D,F,64,4/4,rest; presence-of-god; sabbath; peace,slow; modern
Forever (Live),Kari Jobe,G,Bb,72,4/4,resurrection; cross; gospel; victory,slow; modern
Let The Heavens Open,Kari Jobe,E,G,86,4/4,presence-of-god; prayer; holy-spirit; revival,medium; modern
Hands To The Heavens,Kari Jobe,D,F,72,4/4,surrender; worship; presence-of-god; adoration,slow; modern
How Majestic,Kari Jobe,G,Bb,92,4/4,majesty; praise; name-of-jesus; awe,medium; modern
Holy Spirit,Kari Jobe,A,C,74,4/4,holy-spirit; presence-of-god; prayer; worship,slow; modern
Only Your Love,Kari Jobe,D,F,70,4/4,love-of-god; grace; devotion; trust,slow; modern
Our God Reigns,Kari Jobe,G,Bb,96,4/4,kingship-of-jesus; victory; praise; hope,medium; modern
Lover Of My Soul,Kari Jobe,C,Eb,68,4/4,devotion; love-of-god; intimacy; worship,slow; modern
Heaven Invade,Kari Jobe,E,G,84,4/4,presence-of-god; prayer; revival; holy-spirit,medium; modern
Forever (Revisited),Kari Jobe,G,Bb,72,4/4,resurrection; cross; gospel; victory,slow; modern
Let The Heavens Open (Revisited),Kari Jobe,E,G,86,4/4,presence-of-god; prayer; holy-spirit; revival,medium; modern
Holy Spirit (Revisited),Kari Jobe,A,C,74,4/4,holy-spirit; presence-of-god; prayer; worship,slow; modern
I Am Not Alone (Revisited),Kari Jobe,E,G,78,4/4,comfort; presence-of-god; fear; peace,medium; modern
The Garden,Kari Jobe,E,G,70,4/4,prayer; surrender; trust; jesus,slow; modern
Let Your Glory Fall,Kari Jobe,D,F,72,4/4,glory-of-god; presence-of-god; prayer; revival,slow; modern
Lover Of My Soul (Studio),Kari Jobe,C,Eb,68,4/4,devotion; love-of-god; intimacy; worship,slow; modern
Speak To Me,Kari Jobe,D,F,66,4/4,hearing-god; prayer; presence-of-god; guidance,slow; modern
Fall,Kari Jobe,E,G,68,4/4,surrender; repentance; presence-of-god; worship,slow; modern
Heal Our Land,Kari Jobe,D,F,72,4/4,repentance; prayer; revival; intercession,slow; modern
I Am Not Alone (Studio),Kari Jobe,E,G,78,4/4,comfort; presence-of-god; fear; peace,medium; modern
Oh The Power,Kari Jobe,D,F,90,4/4,power-of-god; holy-spirit; faith; victory,medium; modern
Closing Song,Kari Jobe,C,Eb,66,4/4,surrender; peace; trust; prayer,slow; modern
Heaven Invade (Studio),Kari Jobe,E,G,84,4/4,presence-of-god; prayer; revival; holy-spirit,medium; modern
Embers,Kari Jobe,D,F,68,4/4,renewal; hope; prayer; faith,slow; modern
Obsession,Kari Jobe,E,G,70,4/4,devotion; first-love; desire-for-god; surrender,slow; modern
